FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TOPG,VI,ORTG,DRTG,RTG
Garrett Temple,Pelicans,G-F,35.91,56,18.9,41,0.683,107,0.486,175,0.32,0.482,0.5,5.4,2.5,1.3,0.75,0.41,0.71,5.5,102.7,108.1,70
Emanuel Terry,Suns,F,26.62,3,6.1,0,0,5,0,0,0,0,0,0,5,0.7,0.33,0,1.67,0,63.4,78.9,
Daniel Theis,Rockets,F-C,30,26,22.5,40,0.675,100,0.61,79,0.291,0.534,0.554,8.4,5,0.8,0.42,0.65,1.19,5.7,104.5,108.7,
Daniel Theis,Celtics,F-C,30,18,17,24,0.667,60,0.7,20,0.3,0.638,0.652,6.6,4.3,0.8,0.5,0.83,0.72,6.7,123,94,
Brodric Thomas,Celtics,G,25.18,10,4.8,4,0.5,7,0.714,8,0.125,0.433,0.447,1.5,0.7,0.8,0,0.1,0.4,7.9,95,99.7,
Cam Thomas,Nets,G,20.47,63,18.2,99,0.828,323,0.517,170,0.265,0.476,0.513,8.7,2.5,1.2,0.52,0.13,0.84,6.5,102,111.8,75
Isaiah Thomas,Lakers,G,33.15,4,25.3,11,0.727,17,0.412,22,0.227,0.372,0.422,9.3,2,1.5,0,0.5,1.25,4.8,85.6,108.5,76
Isaiah Thomas,Mavericks,G,33.15,1,13.3,0,0,5,0.6,3,0,0.375,0.375,6,0,4,0,0,0,0,101.4,118.7,76
Isaiah Thomas,Hornets,G,33.15,13,13.7,11,0.909,51,0.471,45,0.378,0.516,0.54,8.4,1.4,1.6,0.46,0.15,0.62,7.8,108.6,110.1,76
Matt Thomas,Bulls,G,27.67,40,11.5,20,0.8,43,0.465,91,0.385,0.541,0.564,4,1.3,0.5,0.2,0.08,0.2,4.8,112.4,114.2,
Klay Thompson,Warriors,G,32.15,30,29.2,45,0.911,250,0.468,272,0.371,0.514,0.533,19.3,3.9,2.7,0.53,0.57,1.3,8.1,105.5,107,83
Tristan Thompson,Kings,C-F,31.06,30,15.2,60,0.533,150,0.5,1,1,0.507,0.521,6.2,5.4,0.6,0.37,0.4,0.97,7.2,109.2,105.1,
Tristan Thompson,Pacers,C-F,31.06,4,16.4,8,0.375,24,0.542,0,0,0.542,0.527,7.3,4.5,0.5,0,0.5,1,6.2,102.9,109,
Tristan Thompson,Bulls,C-F,31.06,19,16.3,40,0.525,69,0.565,2,0,0.549,0.559,5.2,4.6,0.7,0.63,0.32,0.58,6.3,118.8,103.9,
JT Thor,Hornets,F,19.61,29,8.5,16,0.625,28,0.607,26,0.269,0.509,0.532,2.2,1.4,0.6,0.28,0.34,0.28,5.8,112.1,107.3,
Matisse Thybulle,76ers,G-F,25.09,63,25.5,43,0.791,150,0.68,139,0.317,0.581,0.601,5.9,2.3,1.1,1.76,1.1,0.6,3.9,117.3,103.4,77
